"","D102300","D103780","D104130","D104300","D104310","D106100","D107320","D107650","D109100","D109350","D109543","D109800","D114480","D114500","D114550","D115645","D125320","D125850","D125851","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D134430","D134500","D134510","D134520","D137215","D137750","D137760","D137800","D140300","D140600","D143100","D143465","D144700","D145500","D146500","D151400","D152700","D153800","D155600","D155601","D157300","D157700","D160750","D161400","D164230","D165199","D165720","D166710","D166760","D168600","D168601","D170900","D175505","D176807","D181000","D181500","D182830","D184700","D187360","D188470","D190300","D190310","D191390","D192000","D193200","D203700","D205700","D208085","D208550","D209850","D210050","D211980","D219700","D222100","D223350","D226150","D227300","D234700","D236000","D241100","D246300","D247640","D254200","D254500","D256370","D256700","D260480","D260970","D264700","D266120","D266600","D267740","D273300","D275000","D300125","D303110","D312910","D600081","D600319","D600496","D600634","D600803","D600807","D601208","D601318","D601367","D601518","D601626","D601665","D601666","D601682","D601744","D601941","D601942","D602080","D602096","D602134","D602404","D602439","D603165","D603266","D603388","D604416","D604827","D605055","D605218","D605480","D605526","D605804","D605805","D605839","D605841","D605844","D606889","D607060","D607154","D607202","D607373","D607498","D607499","D607501","D607508","D607516","D607554","D607682","D607688","D607822","D607850","D608049","D608088","D608232","D608320","D608437","D608583","D608895","D608907"
"D102300",1,0.17499,0.12908,0.10269,0.072243,0,0.067015,0.123,0.052341,0,0,0.025038,0.065148,0.01628,0.037869,0,0.16858,0,0,0.077777,0.10839,0.17594,0.030918,0.17948,0,0,0.11895,0.081556,0,0,0,0,0.057565,0,0.10233,0.08372,0.10406,0.039076,0.048745,0.12548,0.17071,0.032765,0.035471,0.13194,0,0.12546,0.073826,0.05159,0.04105,0.12337,0.074905,0.070375,0.2564,0.23048,0.11154,0.12908,0.048949,0,0.15731,0.14798,0,0,0.044718,0.079838,0.16703,0.077231,0.15045,0.069715,0.032522,0.17765,0.11804,0.018258,0,0.084924,0.14885,0,0.040991,0.029624,0.12065,0.11624,0,0.046688,0.084292,0,0,0,0.022183,0.024443,0,0.027913,0,0.069573,0.037918,0,0.094003,0.076137,0.2245,0.12063,0,0.058332,0.083568,0.07665,0.058341,0.16499,0.086559,0.11873,0,0,0,0,0,0.01957,0,0,0.1477,0,0,0.10547,0,0,0,0,0,0.12114,0.17695,0.14163,0.053056,0.11096,0.059776,0,0,0.07867,0.10447,0.15826,0,0.093654,0.046432,0,0,0,0.22534,0,0.18766,0.24425,0,0.071091,0.12822,0.14552,0.1418,0.15048,0.15418,0.14418,0.041997,0.18491,0.054773,0.17861,0.035373,0.15228,0.26121,0.067436,0,0,0.046158,0,0.056011
"D103780",0.17499,1,0.13427,0.25049,0.062416,0.11768,0.14389,0.14022,0.14997,0.025185,0,0.021334,0.15528,0.083632,0.16753,0.067242,0.14526,0.13118,0.17525,0.26849,0.24478,0.19935,0.048769,0.11405,0,0.10944,0.10277,0.070457,0.096517,0,0.13907,0,0.024721,0.1277,0.08842,0.14546,0.11915,0.17287,0,0.15088,0.11667,0.084636,0.17237,0.24306,0.089235,0.11864,0.20998,0.098979,0,0.12774,0.10246,0.15396,0.24389,0.16576,0.096463,0.055275,0.13013,0.031869,0.12247,0.10529,0.050241,0.022411,0.076985,0.2227,0.23056,0.10017,0.17306,0.17005,0.083534,0.1126,0.10135,0.094965,0,0.07335,0.16781,0,0.087965,0.10135,0.25934,0.17317,0.12524,0.17365,0.15982,0.080282,0.031912,0.13203,0.15808,0.12737,0,0.096892,0.022426,0.099643,0.19967,0,0.13623,0.13588,0.16258,0.15231,0.11794,0.19056,0.10835,0.10554,0.22156,0.14239,0.099903,0.12269,0.16545,0.083365,0.12433,0,0.15071,0.16911,0.094884,0.15302,0.29218,0,0.103,0.1585,0.095147,0.044242,0.10736,0.21425,0.094438,0.14859,0.21216,0.060715,0.045843,0.18098,0.098609,0.094438,0.15449,0.043781,0.17807,0.1363,0,0.080909,0.16128,0,0,0,0.047414,0,0.15947,0.066021,0.087526,0.22684,0.25855,0.12553,0.12186,0.12983,0.21357,0.17443,0.10889,0.15965,0.047327,0.13206,0,0.24913,0.10883,0.11878,0.11589,0,0.11968,0,0.048396
"D104130",0.12908,0.13427,1,0.20078,0.10884,0.17305,0.10138,0.18862,0.11165,0.08829,0.10503,0.041274,0.16404,0.065215,0.11657,0.30877,0.1496,0.022838,0,0.079579,0.10074,0.11021,0.023183,0.1166,0.0528,0.093461,0.33151,0.23885,0.08841,0,0,0,0,0.11065,0.13579,0.12682,0.21678,0.15225,0,0.17525,0.055308,0.06654,0.066327,0.2306,0.062043,0.16233,0.084152,0.20441,0.16267,0.11303,0.19027,0.10588,0.11717,0.17283,0.11343,0.048152,0.040977,0.084296,0.12188,0.092785,0.087669,0.098346,0.11836,0.18707,0.15667,0.17608,0.19883,0.17311,0.050431,0.23581,0.088272,0.19571,0,0.25246,0.20929,0,0.082818,0.11077,0.22092,0.1698,0.069882,0.17129,0.12687,0.046904,0,0,0.12008,0.036535,0.039524,0.066864,0.043062,0.10392,0.10023,0.037576,0.17631,0.20364,0.10731,0.24535,0,0.14552,0.28636,0.097973,0.13877,0.15108,0.088054,0.14742,0,0,0.021587,0.059648,0.052411,0.10391,0,0.026609,0.14226,0.034325,0.042481,0.20157,0,0.078986,0.037118,0,0,0.12158,0.13286,0.10593,0.1196,0.12996,0.19653,0,0.024947,0.08238,0.22299,0.19786,0.056651,0.27252,0.10474,0.061355,0.058856,0.1065,0.041259,0.06162,0.1581,0.11498,0.050381,0.15947,0.26745,0.15719,0.072429,0.13753,0.16542,0.17796,0.094734,0.3015,0.12355,0.17578,0,0.25461,0.076352,0.1073,0.018169,0.056427,0.10412,0,0.12636
"D104300",0.10269,0.25049,0.20078,1,0.38066,0.2776,0.21527,0.22084,0.16599,0.062503,0.091037,0.13044,0.24315,0.1538,0.24604,0.1664,0.32568,0.19729,0.14177,0.25728,0.27301,0.30246,0.072506,0.35783,0.029869,0.20515,0.18279,0.1139,0.12642,0.061264,0.15475,0.11388,0.073827,0.1487,0.098242,0.19874,0.29655,0.21249,0.039803,0.45976,0.24191,0.25409,0.35069,0.34222,0.18949,0.2523,0.261,0.1887,0.14064,0.21045,0.15974,0.092316,0.24192,0.18044,0.096634,0.13653,0.11509,0.031447,0.32577,0.34262,0.14891,0.077426,0.20912,0.22565,0.40951,0.17225,0.23174,0.20966,0.18267,0.23404,0.067047,0.19514,0,0.14536,0.29054,0.082617,0.15348,0.14998,0.28645,0.2397,0.13661,0.25926,0.24918,0.20768,0,0.14657,0.085327,0.21921,0.022409,0.15517,0.14682,0.12772,0.27256,0.042512,0.27038,0.12124,0.18753,0.25217,0.13251,0.28598,0.19947,0.23296,0.22557,0.12607,0.099386,0.16487,0.081382,0.10278,0.19996,0.08324,0.13701,0.28875,0.11704,0.15087,0.36957,0.038223,0.2303,0.24723,0.1173,0.11435,0.17152,0.16728,0.1166,0.21431,0.31712,0.10802,0.21405,0.30048,0.14431,0.1166,0.15234,0.088287,0.1381,0.41907,0.039126,0.14968,0.30622,0.034744,0.033304,0.071282,0.023369,0.035008,0.39266,0.21241,0.071614,0.12615,0.25268,0.12431,0.062797,0.11438,0.17102,0.16066,0.14337,0.16473,0.2134,0.38173,0.044611,0.27271,0.14145,0.30372,0.15636,0.01597,0.13793,0.058848,0.2507
"D104310",0.072243,0.062416,0.10884,0.38066,1,0,0.092049,0.18278,0.042009,0,0,0,0.069883,0.017282,0.12226,0,0.45253,0,0,0.027423,0.023089,0.094018,0,0.54526,0,0,0.19271,0.13211,0,0,0,0.16556,0,0,0.055232,0.092952,0.18537,0.10543,0,0.22385,0.073492,0.070165,0.09495,0.21216,0,0.11772,0.062016,0.01758,0,0.13253,0.015869,0.037944,0.08622,0.28517,0.040028,0.10351,0,0,0.27782,0.37355,0,0,0.071839,0.034374,0.4601,0.22139,0.053717,0.056191,0,0.24357,0.12793,0.059134,0,0.030517,0.17861,0,0.046384,0,0.12008,0.099635,0,0.10059,0.035778,0,0,0,0.023925,0,0,0.030173,0,0.024756,0.040942,0,0.10062,0.020073,0.15172,0.062774,0.036834,0.04693,0.13479,0.098296,0.041928,0.14143,0.031087,0.10765,0,0,0,0,0,0.041569,0,0,0.11534,0,0,0.11246,0,0,0.053248,0,0,0.073596,0.49833,0.11437,0.43804,0.029746,0,0,0.035779,0,0.14126,0.64296,0,0.15126,0.51269,0,0,0,0.059185,0,0.66746,0.34253,0,0.037888,0.13072,0.12382,0.049247,0.12757,0.13228,0.12336,0.13602,0.19698,0.43048,0.41813,0.037538,0.11611,0.13906,0.03621,0,0,0.14949,0,0.63585
"D106100",0,0.11768,0.17305,0.2776,0,1,0.22986,0.20682,0.22085,0.074438,0.16307,0.0788,0.26464,0.18304,0.19041,0.28569,0,0.21932,0.062295,0.20594,0.25328,0.22471,0.084671,0,0.18273,0.21814,0,0.082421,0.12865,0.072779,0.16305,0.057898,0.1169,0.13014,0.077981,0.18236,0.10769,0.23207,0.046521,0.23827,0,0.24453,0.19249,0.20511,0.27844,0.27702,0.28344,0.27648,0.085285,0.20682,0.21134,0.14551,0.1293,0.019183,0.096195,0.065693,0.14581,0.1486,0.026943,0.063354,0.28909,0.066321,0.1703,0.26125,0.13397,0.081036,0.22133,0.26009,0.17852,0.10996,0.01974,0.27074,0.10569,0.15883,0.18805,0.14704,0.14048,0.31857,0.11919,0.097111,0.16365,0.29878,0.2874,0.26455,0.092404,0.17408,0.17186,0.37357,0.15094,0.21357,0.16381,0.18848,0.35806,0.13089,0.31756,0.20328,0,0.29463,0.10356,0.32552,0.094031,0.15126,0.30051,0.12295,0.074394,0.061741,0.083724,0.098301,0.23619,0.04037,0.16044,0.36407,0.055582,0.19949,0.1486,0.068012,0.25913,0.1067,0.055657,0.10604,0.2197,0.126,0.055452,0.19066,0.10649,0.035547,0,0.1854,0.25747,0.055452,0.17847,0.092282,0,0,0.15087,0.14458,0.12463,0.12378,0.11866,0.069463,0,0.12822,0.047556,0,0.19222,0.12651,0.14702,0.13342,0.060453,0.12902,0.16205,0.15326,0.042411,0,0,0.077056,0.053028,0.1228,0.0636,0.30394,0.075127,0.13202,0.046613,0.070151,0
"D107320",0.067015,0.14389,0.10138,0.21527,0.092049,0.22986,1,0.15055,0.32457,0,0,0.036842,0.20154,0.055618,0.11185,0.088051,0.10225,0.029971,0.080067,0.21551,0.18228,0.20575,0.1002,0.092164,0.017368,0.1305,0.11767,0.14185,0.054531,0.16701,0.19301,0.13314,0.21753,0.117,0.12672,0.15571,0.17774,0.16835,0.1449,0.15279,0.035388,0.12121,0.21276,0.13905,0.20241,0.4024,0.19556,0.13859,0,0.19601,0.22555,0.17609,0.10067,0.1311,0.055053,0.18162,0.16513,0.0915,0.12137,0.11257,0.086799,0.012816,0.13169,0.27999,0.16015,0.13374,0.12393,0.35545,0.048917,0.1396,0.057994,0.19276,0,0.11283,0.19717,0.0961,0.10619,0.13152,0.12192,0.1405,0.027991,0.21502,0.23225,0.20185,0.054788,0.18313,0.37044,0.13151,0.09151,0.20843,0.077402,0.14844,0.20773,0.024668,0.18276,0.16072,0.069518,0.17409,0.10061,0.27566,0.12487,0.12099,0.22504,0.16314,0.071319,0.070069,0.056688,0.12529,0.057275,0.019139,0.069461,0.14491,0.055414,0.14718,0.32565,0,0.08453,0.13002,0.05549,0.025302,0.35035,0.09913,0.055283,0.21098,0.18935,0.069508,0.078619,0.12418,0.12011,0.055283,0.19304,0.16476,0.0847,0.11004,0.41639,0.2396,0.13794,0.081359,0.078016,0.015427,0.027122,0.081846,0.15284,0.075549,0.11928,0.10708,0.1122,0.1583,0.04636,0.16335,0.18322,0.17219,0.21045,0.13744,0.081217,0.11689,0.14813,0.12445,0.087663,0.17792,0.16201,0.40316,0.20882,0,0.11191
"D107650",0.123,0.14022,0.18862,0.22084,0.18278,0.20682,0.15055,1,0.09413,0.034959,0,0.02994,0.18849,0.057949,0.10274,0.17544,0.14765,0.18554,0.12195,0.15376,0.20085,0.19149,0.067584,0.14399,0.020997,0.034653,0.26513,0.33941,0.10845,0,0.12308,0,0.051355,0.087397,0.15438,0.17735,0.093866,0.14242,0.055224,0.19315,0,0.12934,0.18492,0.24399,0.074043,0.13524,0.18245,0.098893,0,0.13352,0.22172,0.17835,0.30008,0.11252,0.22657,0.096104,0.11448,0.13231,0.17108,0.18927,0.1058,0.03147,0.079996,0.26203,0.22194,0.30604,0.29131,0.27376,0.10216,0.27893,0.070284,0.14298,0,0.085004,0.21733,0,0.06486,0.10512,0.23068,0.16482,0.086071,0.16238,0.22377,0.03713,0,0.11587,0.12408,0.058856,0.047345,0.033694,0.031062,0.23536,0.11466,0,0.19765,0.20234,0.040718,0.19051,0.061177,0.15803,0.31209,0.092004,0.20246,0.15826,0.24456,0.17568,0.14465,0.087717,0.19336,0,0.10597,0.12897,0.032924,0.08488,0.15124,0,0.03414,0.23431,0.033016,0.15663,0.077503,0.11968,0.032769,0.16051,0.21331,0.15118,0.12942,0.066456,0.12362,0.032769,0.059938,0.065498,0.093136,0.20143,0.031478,0.18822,0.37758,0.024449,0.023435,0,0.25423,0.024553,0.22721,0.11459,0.10378,0.10583,0.25554,0.15846,0.036356,0.14323,0.22402,0.17459,0.12748,0.18074,0.13144,0.17965,0.042059,0.24324,0.12117,0.061484,0.14525,0,0.14011,0.083883,0.28702
"D109100",0.052341,0.14997,0.11165,0.16599,0.042009,0.22085,0.32457,0.09413,1,0.033983,0,0.00956,0.14832,0.12904,0.17477,0.088923,0.080773,0.10746,0.11162,0.27093,0.22636,0.27312,0.089238,0.077438,0.040984,0.084983,0.023042,0.063227,0.095166,0.093469,0.14002,0.089123,0.12146,0.20921,0.079446,0.11485,0.16134,0.24746,0.11082,0.14358,0.16353,0.11718,0.19154,0.13185,0.29869,0.312,0.16282,0.1156,0,0.14826,0.13834,0.12382,0.099956,0.074115,0.043426,0.1423,0.14962,0.071298,0.10314,0.09528,0.21864,0.04026,0.080348,0.2366,0.18922,0.029955,0.16493,0.49079,0.096036,0.084052,0.060711,0.25861,0,0.25312,0.20237,0.18944,0.14367,0.21543,0.14781,0.13292,0.05681,0.2384,0.29311,0.11422,0.11731,0.11973,0.34902,0.12612,0.092119,0.13192,0.070572,0.2426,0.33512,0.029189,0.18288,0.2754,0.086526,0.21003,0.13937,0.40259,0.032302,0.077209,0.29364,0.076656,0.056148,0.082823,0.14811,0.24211,0.15276,0.030135,0.12747,0.18933,0.23285,0.23681,0.18434,0,0.098056,0.10133,0.23279,0.019841,0.24469,0.24463,0.23292,0.15859,0.12286,0.027255,0.02058,0.1067,0.20273,0.23292,0.26552,0.16782,0.061413,0.10041,0.30517,0.16145,0.054408,0.20477,0.22725,0,0.021286,0.20471,0.057981,0.014818,0.19488,0.17466,0.096963,0.078762,0.05434,0.081015,0.095917,0.066939,0.081643,0.053936,0.021246,0.080514,0.12979,0.094509,0.13913,0.18723,0.18853,0.31647,0.071825,0,0.021726
"D109350",0,0.025185,0.08829,0.062503,0,0.074438,0,0.034959,0.033983,1,0.12303,0.14685,0.10494,0.26966,0.17364,0.13354,0,0.026431,0,0.022216,0.0187,0.076167,0,0,0.031096,0.050572,0,0,0.43334,0,0,0,0,0.31927,0,0.018546,0.065661,0.053992,0,0.088546,0,0.15535,0.046644,0.03257,0.054526,0.037782,0.054618,0.16093,0.11554,0,0.025712,0,0.022271,0,0,0,0,0,0,0,0.15312,0.28699,0.12434,0.083557,0.018451,0,0.043374,0,0.17824,0.037771,0.068205,0.24567,0,0.049741,0.027266,0,0.05646,0,0.016408,0.040876,0.17175,0.16881,0.028937,0.054775,0.096879,0,0,0.11306,0,0.051831,0.0955,0.060339,0.033611,0.065617,0.11946,0.048834,0,0.027049,0,0.12843,0,0.091542,0,0,0,0,0,0,0.024983,0.13745,0.060632,0.067517,0,0.030795,0.036422,0.078899,0.074196,0.09123,0,0.051276,0,0,0,0.031767,0,0,0,0.048988,0.032302,0,0,0,0,0,0,0,0,0,0,0.1786,0,0,0,0,0,0.12258,0.12087,0,0,0,0,0,0,0,0,0,0,0.074904,0.13973,0.12156,0,0,0,0.070243,0
