"","D102300","D103780","D104130","D104300","D104310","D107650","D109100","D109350","D109800","D114480","D114500","D115645","D125320","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D137750","D137760","D140600","D143465","D144700","D145500","D153800","D155600","D155601","D157300","D161400","D164230","D165199","D165720","D166760","D168600","D168601","D176807","D181000","D181500","D182830","D188470","D190310","D205700","D208550","D209850","D210050","D211980","D219700","D222100","D226150","D236000","D254200","D254500","D260480","D266600","D267740","D300125","D600319","D600803","D600807","D601208","D601318","D601367","D601518","D601665","D601666","D601682","D601941","D601942","D602080","D602096","D602404","D603266","D604827","D605055","D605526","D605839","D605841","D605844","D606889","D607060","D607154","D607373","D607498","D607499","D607501","D607508","D607516","D607682","D607688","D607822","D607850","D608049","D608895","D608907"
"D102300",1,0.17499,0.12908,0.10269,0.072243,0.123,0.052341,0,0.025038,0.065148,0.01628,0,0.16858,0.077777,0.10839,0.17594,0.030918,0.17948,0,0,0.11895,0.081556,0,0.10233,0.08372,0.048745,0.17071,0.032765,0.035471,0.073826,0.05159,0.04105,0.12337,0.2564,0.23048,0.11154,0.12908,0,0.15731,0.14798,0.044718,0.079838,0.16703,0.077231,0.032522,0.11804,0,0.029624,0.12065,0.11624,0,0.046688,0.084292,0,0.024443,0.069573,0.037918,0.076137,0.058332,0.083568,0.16499,0,0,0.01957,0,0,0.1477,0,0.10547,0,0,0,0,0.12114,0.17695,0.053056,0,0.10447,0.15826,0.046432,0,0.22534,0,0.18766,0.24425,0,0.12822,0.14552,0.1418,0.15048,0.15418,0.14418,0.18491,0.054773,0.17861,0.035373,0.15228,0,0.056011
"D103780",0.17499,1,0.13427,0.25049,0.062416,0.14022,0.14997,0.025185,0.021334,0.15528,0.083632,0.067242,0.14526,0.26849,0.24478,0.19935,0.048769,0.11405,0,0.10944,0.10277,0.070457,0.096517,0.08842,0.14546,0,0.11667,0.084636,0.17237,0.20998,0.098979,0,0.12774,0.24389,0.16576,0.096463,0.055275,0.031869,0.12247,0.10529,0.076985,0.2227,0.23056,0.10017,0.083534,0.10135,0,0.10135,0.25934,0.17317,0.12524,0.17365,0.15982,0.031912,0.12737,0.099643,0.19967,0.13588,0.19056,0.10835,0.14239,0.083365,0.15071,0.16911,0.094884,0.15302,0.29218,0,0.1585,0.095147,0.044242,0.21425,0.094438,0.14859,0.21216,0.045843,0.094438,0.17807,0.1363,0.16128,0,0.047414,0,0.15947,0.066021,0.087526,0.25855,0.12553,0.12186,0.12983,0.21357,0.17443,0.15965,0.047327,0.13206,0,0.24913,0,0.048396
"D104130",0.12908,0.13427,1,0.20078,0.10884,0.18862,0.11165,0.08829,0.041274,0.16404,0.065215,0.30877,0.1496,0.079579,0.10074,0.11021,0.023183,0.1166,0.0528,0.093461,0.33151,0.23885,0.08841,0.13579,0.12682,0,0.055308,0.06654,0.066327,0.084152,0.20441,0.16267,0.11303,0.11717,0.17283,0.11343,0.048152,0.084296,0.12188,0.092785,0.11836,0.18707,0.15667,0.17608,0.050431,0.088272,0,0.11077,0.22092,0.1698,0.069882,0.17129,0.12687,0,0.036535,0.10392,0.10023,0.20364,0.14552,0.28636,0.15108,0,0.052411,0.10391,0,0.026609,0.14226,0.034325,0.20157,0,0.078986,0,0,0.12158,0.13286,0.1196,0,0.22299,0.19786,0.10474,0.1065,0.041259,0.06162,0.1581,0.11498,0.050381,0.26745,0.15719,0.072429,0.13753,0.16542,0.17796,0.3015,0.12355,0.17578,0,0.25461,0,0.12636
"D104300",0.10269,0.25049,0.20078,1,0.38066,0.22084,0.16599,0.062503,0.13044,0.24315,0.1538,0.1664,0.32568,0.25728,0.27301,0.30246,0.072506,0.35783,0.029869,0.20515,0.18279,0.1139,0.12642,0.098242,0.19874,0.039803,0.24191,0.25409,0.35069,0.261,0.1887,0.14064,0.21045,0.24192,0.18044,0.096634,0.13653,0.031447,0.32577,0.34262,0.20912,0.22565,0.40951,0.17225,0.18267,0.067047,0.082617,0.14998,0.28645,0.2397,0.13661,0.25926,0.24918,0,0.21921,0.12772,0.27256,0.12124,0.28598,0.19947,0.12607,0.10278,0.13701,0.28875,0.11704,0.15087,0.36957,0.038223,0.24723,0.1173,0.11435,0.16728,0.1166,0.21431,0.31712,0.21405,0.1166,0.1381,0.41907,0.30622,0.071282,0.023369,0.035008,0.39266,0.21241,0.071614,0.25268,0.12431,0.062797,0.11438,0.17102,0.16066,0.16473,0.2134,0.38173,0.044611,0.27271,0.058848,0.2507
"D104310",0.072243,0.062416,0.10884,0.38066,1,0.18278,0.042009,0,0,0.069883,0.017282,0,0.45253,0.027423,0.023089,0.094018,0,0.54526,0,0,0.19271,0.13211,0,0.055232,0.092952,0,0.073492,0.070165,0.09495,0.062016,0.01758,0,0.13253,0.08622,0.28517,0.040028,0.10351,0,0.27782,0.37355,0.071839,0.034374,0.4601,0.22139,0,0.12793,0,0,0.12008,0.099635,0,0.10059,0.035778,0,0,0.024756,0.040942,0.020073,0.04693,0.13479,0.14143,0,0,0.041569,0,0,0.11534,0,0.11246,0,0,0,0,0.073596,0.49833,0.43804,0,0.14126,0.64296,0.51269,0,0.059185,0,0.66746,0.34253,0,0.13072,0.12382,0.049247,0.12757,0.13228,0.12336,0.19698,0.43048,0.41813,0.037538,0.11611,0,0.63585
"D107650",0.123,0.14022,0.18862,0.22084,0.18278,1,0.09413,0.034959,0.02994,0.18849,0.057949,0.17544,0.14765,0.15376,0.20085,0.19149,0.067584,0.14399,0.020997,0.034653,0.26513,0.33941,0.10845,0.15438,0.17735,0.055224,0,0.12934,0.18492,0.18245,0.098893,0,0.13352,0.30008,0.11252,0.22657,0.096104,0.13231,0.17108,0.18927,0.079996,0.26203,0.22194,0.30604,0.10216,0.070284,0,0.10512,0.23068,0.16482,0.086071,0.16238,0.22377,0,0.058856,0.23536,0.11466,0.20234,0.15803,0.31209,0.15826,0.087717,0.10597,0.12897,0.032924,0.08488,0.15124,0,0.23431,0.033016,0.15663,0.11968,0.032769,0.16051,0.21331,0.12942,0.032769,0.093136,0.20143,0.37758,0,0.25423,0.024553,0.22721,0.11459,0.10378,0.25554,0.15846,0.036356,0.14323,0.22402,0.17459,0.18074,0.13144,0.17965,0.042059,0.24324,0.083883,0.28702
"D109100",0.052341,0.14997,0.11165,0.16599,0.042009,0.09413,1,0.033983,0.00956,0.14832,0.12904,0.088923,0.080773,0.27093,0.22636,0.27312,0.089238,0.077438,0.040984,0.084983,0.023042,0.063227,0.095166,0.079446,0.11485,0.11082,0.16353,0.11718,0.19154,0.16282,0.1156,0,0.14826,0.099956,0.074115,0.043426,0.1423,0.071298,0.10314,0.09528,0.080348,0.2366,0.18922,0.029955,0.096036,0.060711,0.18944,0.21543,0.14781,0.13292,0.05681,0.2384,0.29311,0.11731,0.12612,0.2426,0.33512,0.2754,0.40259,0.032302,0.076656,0.24211,0.12747,0.18933,0.23285,0.23681,0.18434,0,0.10133,0.23279,0.019841,0.24463,0.23292,0.15859,0.12286,0.02058,0.23292,0.061413,0.10041,0.054408,0,0.021286,0.20471,0.057981,0.014818,0.19488,0.096963,0.078762,0.05434,0.081015,0.095917,0.066939,0.053936,0.021246,0.080514,0.12979,0.094509,0,0.021726
"D109350",0,0.025185,0.08829,0.062503,0,0.034959,0.033983,1,0.14685,0.10494,0.26966,0.13354,0,0.022216,0.0187,0.076167,0,0,0.031096,0.050572,0,0,0.43334,0,0.018546,0,0,0.15535,0.046644,0.054618,0.16093,0.11554,0,0.022271,0,0,0,0,0,0,0.12434,0.083557,0.018451,0,0.17824,0.068205,0,0,0.016408,0.040876,0.17175,0.16881,0.028937,0.096879,0.11306,0.060339,0.033611,0.048834,0.12843,0,0,0,0.060632,0.067517,0,0.030795,0.036422,0.078899,0.09123,0,0.051276,0,0,0.031767,0,0,0,0,0,0,0.1786,0,0,0,0,0,0.12087,0,0,0,0,0,0,0,0,0,0.074904,0.070243,0
"D109800",0.025038,0.021334,0.041274,0.13044,0,0.02994,0.00956,0.14685,1,0.24717,0.41839,0.060414,0,0.037365,0.063543,0.082336,0.10348,0,0.13532,0.047164,0,0,0.18523,0.018837,0.049759,0.068863,0.12584,0.4327,0.16038,0.070312,0.17684,0.22396,0,0.018641,0.027656,0,0.047331,0,0.03919,0.072012,0.30511,0.026113,0.090282,0,0.26365,0,0,0.066298,0.061853,0.020714,0.16975,0.17773,0.11072,0,0.1345,0.12238,0.10277,0,0.13129,0,0,0,0.02565,0.11853,0,0,0.12664,0.20414,0.081055,0,0,0.035882,0,0.067687,0.051151,0,0,0,0,0.034276,0.42005,0,0.030181,0.047428,0.056901,0.049408,0.05741,0,0,0,0.022608,0,0,0,0.029027,0.051544,0.14213,0,0
"D114480",0.065148,0.15528,0.16404,0.24315,0.069883,0.18849,0.14832,0.10494,0.24717,1,0.35152,0.15833,0.054064,0.28506,0.27343,0.17464,0.10757,0.063049,0.15728,0.14804,0.11523,0.13816,0.14885,0.086838,0.18516,0.067828,0.076387,0.30627,0.26976,0.20936,0.3429,0.24059,0.16723,0.098646,0.090884,0.053891,0.16084,0.088928,0.09307,0.088698,0.51079,0.24241,0.20577,0.093541,0.1784,0.056791,0.023307,0.15602,0.18952,0.11805,0.37448,0.32437,0.24242,0,0.2369,0.16818,0.25136,0.12966,0.28355,0.12215,0.11085,0.11752,0.13929,0.22643,0.079738,0.19357,0.21407,0.26003,0.29397,0.079939,0.024754,0.14325,0.079397,0.18017,0.20315,0.076996,0.079397,0.095288,0.076052,0.13513,0.23507,0.026563,0.079463,0.1157,0.11137,0.11387,0.13102,0.11104,0.0292,0.11486,0.14867,0.12526,0.088212,0.079541,0.11721,0.084601,0.25944,0,0.081347
