"","D102300","D103780","D104130","D104300","D104310","D107650","D109100","D109350","D109800","D114480","D114500","D115645","D125320","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D137750","D137760","D140600","D143465","D144700","D145500","D153800","D155600","D155601","D157300","D161400","D164230","D165199","D165720","D166760","D168600","D168601","D176807","D181000","D181500","D182830","D188470","D190310","D205700","D208550","D209850","D210050","D211980","D219700","D222100","D226150","D236000","D254200","D254500","D260480","D266600","D267740","D300125","D600319","D600803","D600807","D601208","D601318","D601367","D601518","D601665","D601666","D601682","D601941","D601942","D602080","D602096","D602404","D603266","D604827","D605055","D605526","D605839","D605841","D605844","D606889","D607060","D607154","D607373","D607498","D607499","D607501","D607508","D607516","D607682","D607688","D607822","D607850","D608049","D608895","D608907"
"D102300",0.00125542692695785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000547506219525621,0.000547506219525621,0,0,0,0,0,0,0,0,0,0,0,0,0.000626067066284907,0,0,0,0,0,0,0,0.000239794398742722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000547506219525621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D103780",0,0.0603044126846208,0.000193585030954982,-0.000352215466455788,-0.000352215466455788,9.93824096781367e-05,-2.96103736006804e-05,0.000476580652561934,2.78290807282847e-05,0.000118691513796873,0.000209544908846896,0.000526701577733109,-5.14078928414875e-05,8.7732303680549e-05,0.000605424743119596,-4.50237267454317e-05,8.04659353015221e-05,-9.52949621380075e-05,1.38837523796159e-05,0,-1.52742977696935e-05,-1.52742977696935e-05,0.00100970146220355,0.000115240371071631,0.000115240371071631,-0.000103916148940552,-0.000130225420196409,0,0.000411498132862509,0,-8.09498860879615e-05,-8.09498860879615e-05,0.000721765122572744,9.15102109028412e-05,0.000673656640472454,0,-0.000103916148940552,0,-9.18524276853731e-05,-9.18524276853731e-05,0.000247112556577967,0,-0.000959235914564179,0,0,9.93824096781367e-05,0,-0.000236882988805443,6.69639973776908e-05,0,-2.96103736006804e-05,0.000147048118223428,8.7732303680549e-05,0.000178659331045954,0,0.000141491989429933,7.02207643736816e-05,-0.000263854708551825,-0.00041728686356331,-1.52742977696935e-05,0.000721765122572744,8.7732303680549e-05,0,-0.000236882988805443,8.7732303680549e-05,8.7732303680549e-05,0.000947786085580883,0.000247112556577967,5.08148597539769e-05,8.7732303680549e-05,0.000115240371071631,8.7732303680549e-05,8.7732303680549e-05,0,-0.000352215466455788,-9.18524276853731e-05,8.7732303680549e-05,2.54074298769884e-05,0,-0.000352215466455788,0,9.15102109028412e-05,8.40525351009682e-05,-0.000352215466455788,-9.18524276853731e-05,-3.89745468947607e-05,6.69639973776908e-05,0.000721765122572744,0,0.000906718563361791,0.000721765122572744,0.000721765122572744,2.54074298769884e-05,-9.18524276853731e-05,-0.000352215466455788,-0.000103916148940552,6.69639973776908e-05,0,-0.000352215466455788
"D104130",0,0.000193585030954982,0.0152274209591993,5.71765528087782e-05,5.71765528087782e-05,0.000342306113898554,0.000213313330619737,0.000688688934824194,0.000270752784948702,0.000695527923762506,0.000244430011243006,0.00040808109734254,7.01548898665245e-05,0.000330656007900966,0.000244430011243006,0.000592186746438836,0.00032338963952194,5.55258667676846e-05,0.000710001704688931,0,0.000137093159591139,0.000137093159591139,0,0.000601087779512466,0.000601087779512466,0.000474401902048595,0.000804993402292218,0,0.000639939991859211,0,0.000161973818132456,0.000161973818132456,0.000226978193374739,0.000334433915123259,0.000626288937188198,0,0.000474401902048595,0,0.000498529344558953,0.000498529344558953,0.000325083213938106,0,-0.000143160629944858,0,0,0.000342306113898554,0,-8.12668566135589e-05,0.00081616219468508,0,0.000213313330619737,0.000389971822443846,0.000330656007900966,0.000421583035266372,0,0.000384415693650351,0.000313144468594099,0.000195065360748355,0.00598936311045431,0.000137093159591139,0.000226978193374739,0.000330656007900966,0,-8.12668566135589e-05,0.000330656007900966,0.000330656007900966,0.000774872560988921,0.000325083213938106,0.000170137738352974,0.000330656007900966,0.000601087779512466,0.000330656007900966,0.000330656007900966,0,5.71765528087782e-05,0.000498529344558953,0.000330656007900966,0.000268331134097406,0,5.71765528087782e-05,0,0.000334433915123259,0.000326976239321386,5.71765528087782e-05,0.000498529344558953,0.000125243035028605,0.00081616219468508,0.000226978193374739,0,0.000273216553572001,0.000226978193374739,0.000226978193374739,0.000268331134097406,0.000498529344558953,5.71765528087782e-05,0.000474401902048595,0.00081616219468508,0,5.71765528087782e-05
"D104300",0,-0.000352215466455788,5.71765528087782e-05,0.217846398969308,0.217846398969308,-0.000131228689744912,-0.000389214256302546,-0.000254303965435652,-0.000155897112311504,-0.000694098134248252,-0.00155900844582549,-9.80327571729018e-05,0.0452809629415411,-0.000154528901740087,-0.00147692085380376,-0.000401079363645332,-8.12740947603164e-05,0.0429403192457267,-0.000281020643526035,6.41902636945019e-05,-0.000519794952997583,-0.000519794952997583,0,-0.000299622688114872,-0.000299622688114872,-0.000409148991797547,-0.000590944557629582,0.000111855972239793,0.000341087849626485,0,-0.000580710160357982,-0.000580710160357982,-0.000361884530792541,0.000281590324596032,-0.000315823886771926,0,-0.000409148991797547,0,-0.000393991900502433,-0.000393991900502433,-0.00107695202074272,0,-0.00598296344045471,0,-6.96051193400429e-05,-2.45246716304725e-05,0,-0.00322924578993676,0.00015885925697028,0,-0.000411503021466924,0.000118472454005402,-0.000154528901740087,2.73251529907229e-05,0.000258083192200063,0.000531499217231492,-0.000189551980353822,-0.00184715573251365,-0.00297789937347875,-0.000519794952997583,-0.000361884530792541,-0.000154528901740087,0,-0.00322924578993676,-0.000154528901740087,-0.000154528901740087,-0.00041438239254653,-0.00107695202074272,-0.000422186823140508,-0.000154528901740087,-0.000299622688114872,-0.000154528901740087,-0.000154528901740087,0,0.217846398969308,-0.000393991900502433,-0.000154528901740087,9.6261152398757e-05,0.0309267118661577,0.217846398969308,0.000111855972239793,0.000281590324596032,-0.000179137615194056,0.217846398969308,-0.000393991900502433,-0.000690325058028328,0.00015885925697028,-0.000361884530792541,0,-0.000269407810398017,-0.000361884530792541,-0.000361884530792541,9.6261152398757e-05,-0.000393991900502433,0.217846398969308,-0.000409148991797547,0.00015885925697028,0,0.217846398969308
"D104310",0,-0.000352215466455788,5.71765528087782e-05,0.217846398969308,0.217846398969308,-0.000131228689744912,-0.000389214256302546,-0.000254303965435652,-0.000155897112311504,-0.000694098134248252,-0.00155900844582549,-9.80327571729018e-05,0.0452809629415411,-0.000154528901740087,-0.00147692085380376,-0.000401079363645332,-8.12740947603164e-05,0.0429403192457267,-0.000281020643526035,6.41902636945019e-05,-0.000519794952997583,-0.000519794952997583,0,-0.000299622688114872,-0.000299622688114872,-0.000409148991797547,-0.000590944557629582,0.000111855972239793,0.000341087849626485,0,-0.000580710160357982,-0.000580710160357982,-0.000361884530792541,0.000281590324596032,-0.000315823886771926,0,-0.000409148991797547,0,-0.000393991900502433,-0.000393991900502433,-0.00107695202074272,0,-0.00598296344045471,0,-6.96051193400429e-05,-2.45246716304725e-05,0,-0.00322924578993676,0.00015885925697028,0,-0.000411503021466924,0.000118472454005402,-0.000154528901740087,2.73251529907229e-05,0.000258083192200063,0.000531499217231492,-0.000189551980353822,-0.00184715573251365,-0.00297789937347875,-0.000519794952997583,-0.000361884530792541,-0.000154528901740087,0,-0.00322924578993676,-0.000154528901740087,-0.000154528901740087,-0.00041438239254653,-0.00107695202074272,-0.000422186823140508,-0.000154528901740087,-0.000299622688114872,-0.000154528901740087,-0.000154528901740087,0,0.217846398969308,-0.000393991900502433,-0.000154528901740087,9.6261152398757e-05,0.0309267118661577,0.217846398969308,0.000111855972239793,0.000281590324596032,-0.000179137615194056,0.217846398969308,-0.000393991900502433,-0.000690325058028328,0.00015885925697028,-0.000361884530792541,0,-0.000269407810398017,-0.000361884530792541,-0.000361884530792541,9.6261152398757e-05,-0.000393991900502433,0.217846398969308,-0.000409148991797547,0.00015885925697028,0,0.217846398969308
"D107650",0,9.93824096781367e-05,0.000342306113898554,-0.000131228689744912,-0.000131228689744912,0.0263117823426423,0.000119110709342892,0.000500283692270504,0.000176550163671857,-1.79928300960733e-05,5.6024768689316e-05,0.000313878476065695,0.000148291328668223,0.000236453386624121,0.000256355516020869,0.000103697356198141,0.000229187018245095,0.000119033282470543,0.000162604835323188,0,4.28905383142937e-05,4.28905383142937e-05,0,0.000412682536958776,0.000412682536958776,0.000285996659494905,0.000233378116983192,0,-3.6522140730505e-05,0,6.77711968556109e-05,6.77711968556109e-05,0.000132775572097894,0.000240231293846414,0.000120748451572822,0,0.000285996659494905,0,5.68686552581993e-05,5.68686552581993e-05,0.000136677971384416,0,-0.000325030445760926,0,0.000342306113898554,0.000248103492621709,0,-0.000175469477890404,0.000215685080321263,0,0.000119110709342892,0.000295769201167001,0.000236453386624121,0.000327380413989526,0,0.000290213072373506,0.000218941847317254,-9.48633366470995e-05,-0.000174652973468142,4.28905383142937e-05,0.000132775572097894,0.000236453386624121,0,-0.000175469477890404,0.000236453386624121,0.000236453386624121,8.45538231273159e-06,0.000136677971384416,7.59351170761289e-05,0.000236453386624121,0.000412682536958776,0.000236453386624121,0.000236453386624121,0,-0.000131228689744912,5.68686552581993e-05,0.000236453386624121,0.000174128512820561,0,-0.000131228689744912,0,0.000240231293846414,0.000661934027577945,-0.000131228689744912,5.68686552581993e-05,3.10404137517601e-05,0.000215685080321263,0.000132775572097894,0,0.000179013932295156,0.000132775572097894,0.000132775572097894,0.000174128512820561,5.68686552581993e-05,-0.000131228689744912,0.000285996659494905,0.000215685080321263,0,-0.000131228689744912
"D109100",0,-2.96103736006804e-05,0.000213313330619737,-0.000389214256302546,-0.000389214256302546,0.000119110709342892,0.0541812011064538,0.00024229812571287,4.755738039304e-05,0.000405061954682497,0.00100882714921383,0.000184885692786878,-0.000153040514689138,0.0032163263246288,0.000763251140437639,0.00257373245759506,0.000396775261421419,-0.000167669537787978,3.36120520443713e-05,0.000347108713654282,-8.61022449645234e-05,-8.61022449645234e-05,0,-2.08449105438611e-05,-2.08449105438611e-05,0.00044879576885227,-0.000110497120531653,0,-0.00013464305652978,0,0.000283233790950572,0.000283233790950572,3.78278881907736e-06,0.000800614081922981,0.000179898128076874,0,0.00044879576885227,0,5.21385354476283e-05,5.21385354476283e-05,-0.000158847193331041,0,-0.00073533073613156,0,0.000213313330619737,0.000119110709342892,0,0.00438577980437619,0.00072697544134753,0,0.000176622643617014,0.000166776417888184,0.0032163263246288,0.000593162052910283,0,0.000950559417504257,8.99490640384369e-05,0.0110753167231102,0.0102271123997486,-8.61022449645234e-05,3.78278881907736e-06,0.0032163263246288,0,0.00438577980437619,0.0032163263246288,0.0032163263246288,0.000105286347321935,-0.000158847193331041,9.02714590834875e-05,0.0032163263246288,-2.08449105438611e-05,0.0032163263246288,0.0032163263246288,0,-0.000389214256302546,5.21385354476283e-05,0.0032163263246288,4.51357295417437e-05,0,-0.000389214256302546,0,0.000800614081922981,0.000778241054517361,-0.000389214256302546,5.21385354476283e-05,0.00124397940330737,0.00072697544134753,3.78278881907736e-06,0,5.00211490163392e-05,3.78278881907736e-06,3.78278881907736e-06,4.51357295417437e-05,5.21385354476283e-05,-0.000389214256302546,0.00044879576885227,0.00072697544134753,0,-0.000389214256302546
"D109350",0,0.000476580652561934,0.000688688934824194,-0.000254303965435652,-0.000254303965435652,0.000500283692270504,0.00024229812571287,0.0452371015615635,8.0395121440968e-05,0.000328955676647607,0.000524941153122996,0.000217723433834806,0.000106290229296563,0.00184148174352311,-3.21096106717979e-05,0.000489525492121946,0.000133031976014205,6.24031600000426e-05,0.000666247929497089,0,8.98577836556733e-05,8.98577836556733e-05,0.000459223376070027,0.000502877041732392,0.000502877041732392,0.000580146733043982,0.000751693124138323,0,0.00025483843410988,0,-2.83838453752781e-05,-2.83838453752781e-05,0.000269627851222875,0.000144076251615525,0.00024557361017273,0,0.000580146733043982,0,-3.92863869726897e-05,-3.92863869726897e-05,8.88701933708521e-05,0,4.19557768142198e-05,0,0,0.00015194845039082,0.00075989290940442,0.00035677062022951,0.000435446867669612,0,2.2955667112003e-05,0.000199614158936112,0.00184148174352311,0.000231225371758637,0,0.000194058030142617,0.000122786805086365,0.000592517337850849,0.000553833843567912,8.98577836556733e-05,0.000269627851222875,0.00184148174352311,0,0.00035677062022951,0.00184148174352311,0.00184148174352311,0.000434748526282826,8.88701933708521e-05,-2.02199251547602e-05,0.00184148174352311,0.000502877041732392,0.00184148174352311,0.00184148174352311,0,-0.000254303965435652,-3.92863869726897e-05,0.00184148174352311,7.79734705896718e-05,0,-0.000254303965435652,0,0.000144076251615525,0.000876754277661146,-0.000254303965435652,-3.92863869726897e-05,0.000814416879161304,0.000435446867669612,0.000269627851222875,0,0.000362104571617399,0.000269627851222875,0.000269627851222875,7.79734705896718e-05,-3.92863869726897e-05,-0.000254303965435652,0.000580146733043982,0.000435446867669612,0,-0.000254303965435652
"D109800",0,2.78290807282847e-05,0.000270752784948702,-0.000155897112311504,-0.000155897112311504,0.000176550163671857,4.755738039304e-05,8.0395121440968e-05,0.0394522890887158,0.000692259226327322,0.00152578223817451,0.000242325147115843,0.000403142924514766,0.000526186906837403,-8.70818892103881e-05,0.000260674845985441,0.000157633689295242,0.000344626832119406,9.10515063733363e-05,0,-2.86627906355583e-05,-2.86627906355583e-05,0,3.6594543785104e-05,3.6594543785104e-05,-2.67483949468315e-05,0.000307725551612126,0.00110081454454594,0.000874504656824832,0,0.00232638444111244,0.00232638444111244,0.000318831277784949,0.000168677964896562,4.919512262297e-05,0,-2.67483949468315e-05,0,-1.46846736916527e-05,-1.46846736916527e-05,0.000632951326546569,0,-0.000419061636608136,0,0.0012791569050663,0.000996549041235762,0,-0.000274169870300577,0.000144131751371411,0,0.000975776687527616,0.000224215872217149,0.000526186906837403,0.000255827085039674,0.000270752784948702,0.000218659743423654,0.00137510123942506,-3.23514465706635e-05,-0.00027172035703379,-2.86627906355583e-05,0.000318831277784949,0.000526186906837403,0.00136042376167986,-0.000274169870300577,0.000526186906837403,0.000526186906837403,-6.30979466371205e-05,0.000632951326546569,0.000480043914599022,0.000526186906837403,3.6594543785104e-05,0.000526186906837403,0.000526186906837403,0,-0.000155897112311504,-1.46846736916527e-05,0.000526186906837403,0.000102575183870709,0,-0.000155897112311504,0.00110081454454594,0.000168677964896562,0.000161220289094689,-0.000155897112311504,-1.46846736916527e-05,0.000345359804625915,0.000144131751371411,0.000318831277784949,0,0.000107460603345304,0.000318831277784949,0.000318831277784949,0.000102575183870709,-1.46846736916527e-05,-0.000155897112311504,-2.67483949468315e-05,0.000144131751371411,0,-0.000155897112311504
"D114480",0,0.000118691513796873,0.000695527923762506,-0.000694098134248252,-0.000694098134248252,-1.79928300960733e-05,0.000405061954682497,0.000328955676647607,0.000692259226327322,0.111218175139487,0.00110643687814798,4.77821533479128e-05,-0.000383901316767342,-2.9642936093661e-05,0.000526116842769797,0.000792853224359278,-3.69093044726879e-05,-0.000447420681460638,0.000156424088036409,0,-0.000250024777318113,-0.000250024777318113,0,0.000575266775010016,0.000575266775010016,0.000195209142618403,-0.000204855473927019,0.000257670882760608,0.000789623616906217,0,0.0012786627419365,0.0012786627419365,-7.02547097509119e-05,0.000389303463606085,0.000413250665832147,0,0.000195209142618403,0.000122310145400155,9.38516842590335e-05,9.38516842590335e-05,0.00204315053618195,0,-0.00218808357194887,0,0.000348806373850407,-1.79928300960733e-05,0,-0.000343620096158652,0.000583902196369379,0,0.000197604712455894,2.96728784492183e-05,-2.9642936093661e-05,0.000318954974032352,7.62097911807718e-05,0.00024462029080031,-4.71544754005284e-05,-0.000597071625557404,-0.00100607720868306,-0.000250024777318113,-7.02547097509119e-05,-2.9642936093661e-05,0,-0.000343620096158652,-2.9642936093661e-05,-2.9642936093661e-05,0.000126159407161413,0.00204315053618195,0.000381990241057053,-2.9642936093661e-05,0.000575266775010016,-2.9642936093661e-05,-2.9642936093661e-05,0,-0.000694098134248252,9.38516842590335e-05,-2.9642936093661e-05,-9.19678098972215e-05,-0.000110320343424188,-0.000694098134248252,0.000257670882760608,0.000389303463606085,-3.33227046732418e-05,-0.000694098134248252,9.38516842590335e-05,0.00011262202111084,0.000583902196369379,-7.02547097509119e-05,0,2.22220106436118e-05,-7.02547097509119e-05,-7.02547097509119e-05,-9.19678098972215e-05,9.38516842590335e-05,-0.000694098134248252,0.000195209142618403,0.000583902196369379,0,-0.000694098134248252
